Date,HomeTeam,WeatherDesc,TempMaxC,PrecipMM,WindKmh
2026-10-10,1. FC Union Berlin,N/A,,,
2026-10-10,TSG 1899 Hoffenheim,N/A,,,
2026-10-10,FC Augsburg,N/A,,,
2026-10-10,Borussia Dortmund,N/A,,,
2026-10-17,1. FC Union Berlin,N/A,,,
2026-10-17,Hamburger SV,N/A,,,
2026-10-17,SV Werder Bremen,N/A,,,
2026-10-17,SV 07 Elversberg,N/A,,,
2026-10-17,FC Bayern München,N/A,,,
2026-10-17,Borussia Mönchengladbach,N/A,,,
2026-10-17,Bayer 04 Leverkusen,N/A,,,
2026-10-17,Eintracht Frankfurt,N/A,,,
2026-10-17,FC Schalke 04,N/A,,,
2026-10-24,1. FSV Mainz 05,N/A,,,
2026-10-24,1. FC Köln,N/A,,,
2026-10-24,RB Leipzig,N/A,,,
2026-10-24,VfB Stuttgart,N/A,,,
2026-10-24,SC Paderborn 07,N/A,,,
2026-10-24,TSG 1899 Hoffenheim,N/A,,,
2026-10-24,SC Freiburg,N/A,,,
2026-10-24,Borussia Dortmund,N/A,,,
2026-10-24,FC Augsburg,N/A,,,
2026-10-31,Borussia Mönchengladbach,N/A,,,
2026-10-31,FC Schalke 04,N/A,,,
2026-10-31,1. FC Union Berlin,N/A,,,
2026-10-31,FC Augsburg,N/A,,,
2026-10-31,SV Werder Bremen,N/A,,,
2026-10-31,Eintracht Frankfurt,N/A,,,
2026-10-31,FC Bayern München,N/A,,,
2026-10-31,SV 07 Elversberg,N/A,,,
2026-10-31,Bayer 04 Leverkusen,N/A,,,
2026-11-07,RB Leipzig,N/A,,,
2026-11-07,VfB Stuttgart,N/A,,,
2026-11-07,Borussia Dortmund,N/A,,,
2026-11-07,1. FSV Mainz 05,N/A,,,
2026-11-07,Hamburger SV,N/A,,,
2026-11-07,SC Paderborn 07,N/A,,,
2026-11-07,SC Freiburg,N/A,,,
2026-11-07,1. FC Köln,N/A,,,
2026-11-07,TSG 1899 Hoffenheim,N/A,,,
2026-11-21,Bayer 04 Leverkusen,N/A,,,
2026-11-21,1. FC Union Berlin,N/A,,,
2026-11-21,FC Bayern München,N/A,,,
2026-11-21,SV 07 Elversberg,N/A,,,
2026-11-21,FC Schalke 04,N/A,,,
2026-11-21,Borussia Mönchengladbach,N/A,,,
2026-11-21,SV Werder Bremen,N/A,,,
2026-11-21,FC Augsburg,N/A,,,
2026-11-21,Eintracht Frankfurt,N/A,,,
2026-11-28,1. FC Köln,N/A,,,
2026-11-28,1. FSV Mainz 05,N/A,,,
2026-11-28,SC Paderborn 07,N/A,,,
2026-11-28,SV Werder Bremen,N/A,,,
2026-11-28,VfB Stuttgart,N/A,,,
2026-11-28,TSG 1899 Hoffenheim,N/A,,,
