MatchDate,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Home_xG,Away_xG
2024-01-20,FC Koln,Dortmund,0,4,1.65,2.31
2024-01-20,Freiburg,Hoffenheim,3,2,2.64,1.32
2024-01-20,Heidenheim,Wolfsburg,1,1,0.99,0.99
2024-01-20,RB Leipzig,Leverkusen,2,3,1.98,1.65
2024-01-21,Bayern Munich,Werder Bremen,0,1,1.98,0.99
2024-01-21,M'gladbach,Augsburg,1,2,1.32,2.31
2024-01-24,Bayern Munich,Union Berlin,1,0,3.3,0.33
2024-01-26,Ein Frankfurt,Mainz,1,0,1.32,0.0
2024-01-27,Augsburg,Bayern Munich,2,3,2.31,1.32
2024-01-27,Hoffenheim,Heidenheim,1,1,2.64,0.99
2024-01-27,Stuttgart,RB Leipzig,5,2,3.63,0.66
2024-01-27,Werder Bremen,Freiburg,3,1,1.32,1.32
2024-01-27,Wolfsburg,FC Koln,1,1,1.65,0.66
2024-01-27,Leverkusen,M'gladbach,0,0,2.64,0.99
2024-01-28,Union Berlin,Darmstadt,1,0,1.98,0.33
2024-01-28,Dortmund,Bochum,3,1,1.98,1.32
2024-02-02,Heidenheim,Dortmund,0,0,0.0,1.65
2024-02-03,Darmstadt,Leverkusen,0,2,1.98,2.31
2024-02-03,Bochum,Augsburg,1,1,1.32,1.98
2024-02-03,Bayern Munich,M'gladbach,3,1,1.98,1.32
2024-02-03,Freiburg,Stuttgart,1,3,1.32,2.97
2024-02-03,FC Koln,Ein Frankfurt,2,0,1.32,1.32
2024-02-03,Mainz,Werder Bremen,0,1,1.65,0.33
2024-02-04,Wolfsburg,Hoffenheim,2,2,2.64,2.31
2024-02-04,RB Leipzig,Union Berlin,2,0,1.98,0.66
2024-02-07,Mainz,Union Berlin,1,1,2.31,1.32
2024-02-09,Dortmund,Freiburg,3,0,2.64,0.99
2024-02-10,Augsburg,RB Leipzig,2,2,1.32,1.98
2024-02-10,Ein Frankfurt,Bochum,1,1,0.66,1.65
2024-02-10,M'gladbach,Darmstadt,0,0,2.64,0.33
2024-02-10,Union Berlin,Wolfsburg,1,0,0.66,1.65
2024-02-10,Werder Bremen,Heidenheim,1,2,0.99,0.99
2024-02-10,Leverkusen,Bayern Munich,3,0,2.64,0.33
2024-02-11,Stuttgart,Mainz,3,1,2.31,1.98
2024-02-11,Hoffenheim,FC Koln,1,1,1.32,0.33
2024-02-16,FC Koln,Werder Bremen,0,1,0.66,1.32
2024-02-17,Darmstadt,Stuttgart,1,2,2.97,1.32
2024-02-17,Heidenheim,Leverkusen,1,2,0.99,1.32
2024-02-17,Hoffenheim,Union Berlin,0,1,1.32,0.99
2024-02-17,Mainz,Augsburg,1,0,1.32,1.32
2024-02-17,Wolfsburg,Dortmund,1,1,1.32,1.65
2024-02-17,RB Leipzig,M'gladbach,2,0,2.97,0.0
2024-02-18,Freiburg,Ein Frankfurt,3,3,2.64,1.98
2024-02-18,Bochum,Bayern Munich,3,2,1.65,3.3
2024-02-23,Leverkusen,Mainz,2,1,2.31,1.32
2024-02-24,M'gladbach,Bochum,5,2,1.98,1.65
2024-02-24,Stuttgart,FC Koln,1,1,1.65,1.98
2024-02-24,Union Berlin,Heidenheim,2,2,0.99,1.32
2024-02-24,Werder Bremen,Darmstadt,1,1,1.32,0.99
2024-02-24,Bayern Munich,RB Leipzig,2,1,1.32,1.65
2024-02-25,Ein Frankfurt,Wolfsburg,2,2,1.65,2.64
2024-02-25,Dortmund,Hoffenheim,2,3,2.31,1.65
2024-02-25,Augsburg,Freiburg,2,1,2.64,0.33
2024-03-01,Freiburg,Bayern Munich,2,2,1.65,2.97
2024-03-02,Bochum,RB Leipzig,1,4,1.32,1.32
2024-03-02,Darmstadt,Augsburg,0,6,1.65,1.98
2024-03-02,Heidenheim,Ein Frankfurt,1,2,0.99,1.98
2024-03-02,Mainz,M'gladbach,1,1,1.65,1.65
2024-03-02,Union Berlin,Dortmund,0,2,1.65,2.31
2024-03-02,Wolfsburg,Stuttgart,2,3,0.66,0.99
2024-03-03,FC Koln,Leverkusen,0,2,0.0,1.98
2024-03-03,Hoffenheim,Werder Bremen,2,1,2.31,2.64
2024-03-08,Stuttgart,Union Berlin,2,0,1.65,1.32
2024-03-09,Augsburg,Heidenheim,1,0,1.32,0.33
2024-03-09,Bayern Munich,Mainz,8,1,3.96,0.99
2024-03-09,M'gladbach,FC Koln,3,3,1.65,1.65
